STATE,ST_CASE,PVH_INVL,PERNOTMVIT,PERMVIT,PERSONS,RD_OWNER,MAN_COLL,SCH_BUS,CF1,CF2,CF3,FATALS,DRUNK_DR
36,360686,0,0,2,2,1,1,0,0,0,0,1,1
36,360687,0,0,1,1,4,0,0,0,0,0,1,0
36,360688,0,1,1,1,3,0,0,0,0,0,1,0
36,360689,0,0,4,4,3,1,0,0,0,0,1,0
36,360690,0,0,2,2,1,0,0,0,0,0,1,0
36,360691,0,0,4,4,1,0,0,0,0,0,2,1
36,360692,0,0,2,2,2,0,0,0,0,0,1,1
36,360693,0,0,2,2,1,0,0,0,0,0,1,0
36,360694,0,0,3,3,31,1,0,19,14,0,1,1
36,360695,0,0,1,1,2,0,0,0,0,0,1,0
36,360696,0,0,3,3,1,2,0,0,0,0,2,0
36,360697,0,0,4,4,1,2,0,0,0,0,1,0
36,360698,0,0,2,2,1,2,0,0,0,0,1,0
36,360699,0,1,1,1,3,0,0,0,0,0,1,1
36,360700,0,0,2,2,1,6,0,0,0,0,1,0
36,360701,0,0,2,2,1,6,0,0,0,0,1,0
36,360702,0,0,1,1,2,0,0,0,0,0,1,0
36,360703,0,0,1,1,4,0,0,0,0,0,1,0
36,360704,0,0,2,2,1,6,0,0,0,0,1,0
36,360705,0,0,3,3,3,2,0,0,0,0,1,1
36,360706,0,0,2,2,3,2,0,0,0,0,1,1
36,360707,0,1,1,1,3,0,0,0,0,0,1,0
36,360708,0,0,2,2,3,0,0,0,0,0,1,0
36,360709,0,1,1,1,4,0,0,0,0,0,1,0
36,360710,0,1,1,1,4,0,0,0,0,0,1,0
36,360711,0,0,1,1,2,0,0,0,0,0,1,0
36,360712,0,0,1,1,1,0,0,0,0,0,1,1
36,360713,0,1,1,1,4,0,0,0,0,0,1,0
36,360714,0,1,1,1,1,0,0,0,0,0,1,0
36,360715,0,0,1,1,1,0,0,0,0,0,1,0
36,360716,0,1,3,3,3,0,0,0,0,0,1,0
36,360717,0,3,2,2,4,6,0,0,0,0,1,0
36,360718,0,0,1,1,1,0,0,0,0,0,1,1
36,360719,0,0,6,6,3,6,0,0,0,0,1,0
36,360720,0,1,2,2,4,0,0,0,0,0,1,0
36,360721,0,1,2,2,1,0,0,0,0,0,1,0
36,360722,0,1,1,1,1,0,0,0,0,0,1,0
36,360723,0,3,6,6,4,6,0,0,0,0,1,0
36,360724,0,0,3,3,1,1,0,0,0,0,1,1
36,360725,0,0,1,1,3,0,0,0,0,0,1,0
36,360726,0,0,3,3,1,2,0,0,0,0,1,0
36,360727,0,0,1,1,1,0,0,0,0,0,1,0
36,360728,0,0,4,4,3,1,0,0,0,0,1,0
36,360729,0,1,1,1,4,0,0,0,0,0,1,0
36,360730,0,0,1,1,3,0,0,0,0,0,1,0
36,360731,0,0,2,2,1,0,0,0,0,0,1,0
36,360732,0,1,1,1,4,0,0,0,0,0,1,0
36,360733,0,0,2,2,3,6,0,0,0,0,1,0
36,360734,0,1,1,1,4,0,0,0,0,0,1,0
36,360735,0,0,1,1,3,0,0,0,0,0,1,0
36,360736,0,1,1,1,3,0,0,0,0,0,1,0
36,360737,0,0,3,3,4,6,0,0,0,0,1,0
36,360738,0,1,1,1,4,0,0,0,0,0,1,0
36,360739,0,0,3,3,1,0,0,0,0,0,1,1
36,360740,0,0,11,11,1,0,0,0,0,0,3,0
36,360741,0,0,3,3,1,6,0,0,0,0,1,0
36,360742,0,0,1,1,3,0,0,0,0,0,1,0
36,360743,0,0,3,3,1,2,0,0,0,0,1,1
36,360744,0,0,6,6,1,0,0,0,0,0,2,0
36,360745,0,1,4,4,1,0,0,0,0,0,1,0
36,360746,0,0,2,2,4,8,0,0,0,0,1,0
36,360747,0,0,1,1,1,0,0,0,0,0,1,1
36,360748,0,0,1,1,1,0,0,0,0,0,1,0
36,360749,0,1,1,1,1,0,0,0,0,0,1,0
36,360750,0,0,2,2,3,6,0,0,0,0,1,0
36,360751,0,1,1,1,1,0,0,0,0,0,1,0
36,360752,0,0,2,2,1,2,0,0,0,0,1,0
36,360753,0,0,1,1,3,0,0,0,0,0,1,1
36,360754,0,1,3,3,3,0,0,0,0,0,1,0
36,360755,0,0,1,1,3,0,0,0,0,0,1,0
36,360756,0,0,4,4,1,2,0,0,0,0,3,1
36,360757,0,0,1,1,1,0,0,0,0,0,1,0
36,360758,0,0,5,5,1,6,0,0,0,0,1,0
36,360759,0,1,2,2,1,0,0,0,0,0,1,0
36,360760,0,0,3,3,1,6,0,0,0,0,1,0
36,360761,0,0,5,5,1,0,0,0,0,0,1,0
36,360762,0,0,1,1,3,0,0,0,0,0,1,1
36,360763,0,0,1,1,2,0,0,0,0,0,1,0
